archetype,calculation_load,candidate_id,cat_likeness_score,common_wrong_approaches,correct_answer,coverage_gain_score,coverage_recovery_eligible,detailed_solution,difficulty,difficulty_match_score,estimated_time_min,evidence_alignment_score,expected_question_value,final_question_value_score,generation_method,hidden_constraints,option_a,option_b,option_c,option_d,option_quality_score,paper_eligible,parse_notes,parse_status,prediction_score,question_text,question_type,reasoning_depth,reasoning_depth_score,redundancy_penalty,rejection_reason,section,selection_reason,solution_clarity_score,source_pool,source_question_ids,source_tex_file,spec_id,subtopic,topic,trap_quality_score,trap_type,verification_status,why_cat_level
Inequality optimization problem,3,CAT_QA_SPEC_08_CLAUDE_07,0.84,"Using only sum/product signs ($k > 3$), counting $\{4,5,\dots,15\} = 12$. | Using $\Delta \ge 0$ (allowing equal roots), but $5 + 2\sqrt{2}$ is irrational, no extra integers. | Approximating $5 + 2\sqrt{2}$ as $7$ (mis-evaluation), giving $9$ values $\{7,\dots,15\}$.",(B) $8$,0.55,NO,"Step 1: For both roots negative and \emph{distinct} real: \begin{itemize} \item Discriminant $> 0$ (strict, for distinct): $(k-3)^2 - 4(k-2) > 0$. \item Sum of roots negative: $-(k-3) < 0$, i.e.\ $k > 3$. \item Product of roots positive: $k - 2 > 0$, i.e.\ $k > 2$. \end{itemize} Step 2: Simplify discriminant: $(k-3)^2 - 4(k-2) = k^2 - 6k + 9 - 4k + 8 = k^2 - 10k + 17 > 0$. Step 3: Roots of $k^2 - 10k + 17 = 0$: $k = \dfrac{10 \pm \sqrt{100 - 68}}{2} = \dfrac{10 \pm \sqrt{32}}{2} = 5 \pm 2\sqrt{2}$. Approximately $5 + 2\sqrt{2} \approx 7.83$ and $5 - 2\sqrt{2} \approx 2.17$. Step 4: So $k^2 - 10k + 17 > 0$ iff $k < 5 - 2\sqrt{2}$ or $k > 5 + 2\sqrt{2}$. Step 5: Combine with $k > 3$ and $k > 2$: intersection is $k > 5 + 2\sqrt{2} \approx 7.83$ (the branch $k < 5 - 2\sqrt{2} \approx 2.17$ is killed by $k > 3$). Step 6: Integer $k$ with $7.83 < k \le 15$: $k \in \{8, 9, 10, 11, 12, 13, 14, 15\}$. Count $= 8$. Step 7: Verify endpoints. $k = 8$: $x^2 + 5x + 6 = (x+2)(x+3) = 0$, roots $-2, -3$, both negative and distinct \(\checkmark\). $k = 7$: $x^2 + 4x + 5 = 0$, discriminant $= 16 - 20 = -4 < 0$, complex roots \(\times\) (good).",Hard,1.0,4,0.549,0.763,0.855,,"three simultaneous conditions on k: discriminant >=0 (or >0 for distinct), sum of roots <0, product of roots >0",$7$,$8$,$9$,$12$,0.75,YES,,OK,0.54,"For integer $k$ with $0 \le k \le 15$, how many values of $k$ make both roots of \[x^2 + (k - 3)x + (k - 2) = 0\] distinct negative real numbers?",MCQ,5,1.0,0.0,,QA,paper_eligible,1.0,latex,CAT_2017_S1_QA_Q03;CAT_2017_S1_QA_Q26;CAT_2017_S2_QA_Q29,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_01_weak_spec_recovery_cleaned.tex,CAT_QA_SPEC_08,Inequalities,Algebra,1.0,boundary on discriminant + sum/product sign conditions,,"The student must simultaneously enforce three conditions: real, distinct, and both negative. Missing the discriminant condition (just using sum/product signs) inflates the count to $12$ or $13$. Missing distinctness includes the irrational boundary. The range $0 \le k \le 15$ disciplines the answer."
Integer feasibility under hidden divisibility constraint,3,CAT_QA_SPEC_12_GENSPARK_FINAL_01,0.85,"Ignoring the integrality of $|Z|$ and treating $b$ as any positive integer, which incorrectly allows non-multiples of 3 in the total and inflates the count. | Treating the three departments as three independent free variables and attempting a large combinatorial enumeration instead of reducing to one effective parameter $m$. | Miscounting the range boundaries by using strict inequalities instead of the given inclusive bounds.",10,1.0,NO,"Step 1: Let the number of employees in X be $4a$ where $a \ge 1$, and let Y exceed X by $3b$ where $b \ge 1$. Then $|Y| = 4a + 3b$. Step 2: The number of employees in Z is \[ |Z| = \frac{|X| + |Y|}{2} = \frac{4a + 4a + 3b}{2} = \frac{8a + 3b}{2}. \] For $|Z|$ to be a positive integer, $8a + 3b$ must be even. Since $8a$ is always even, $3b$ must be even, which forces $b$ to be even. Write $b = 2k$ with $k \ge 1$. Step 3: With $b = 2k$, we get $|Z| = 4a + 3k$ and \[ T = |X| + |Y| + |Z| = 4a + (4a + 6k) + (4a + 3k) = 12a + 9k = 3(4a + 3k). \] So $T$ is always a multiple of 3. Step 4: Impose $100 \le T \le 130$: \[ 100 \le 3(4a + 3k) \le 130 \implies 34 \le 4a + 3k \le 43. \] Let $m = 4a + 3k$ where $a \ge 1$ and $k \ge 1$, so $m \ge 7$. For any integer $m \ge 7$, a representation $m = 4a + 3k$ with $a, k \ge 1$ exists: if $m \equiv 1 \pmod{3}$, take $a = 1$; if $m \equiv 2 \pmod{3}$, take $a = 2$; if $m \equiv 0 \pmod{3}$, take $a = 3$; and solve for $k$ accordingly. Each resulting $k$ is positive for $m \ge 7$. Step 5: The integers $m$ from 34 to 43 inclusive give $43 - 34 + 1 = 10$ values of $m$, hence 10 distinct totals $T \in \{102, 105, 108, 111, 114, 117, 120, 123, 126, 129\}$.",Hard,1.0,4.0,0.373,0.762,0.854,,An integrality condition on a derived quantity forces an auxiliary variable to be even,,,,,1.0,YES,,OK,0.418,"A company has three departments X, Y, and Z. Every employee belongs to exactly one department. The number of employees in X is a positive multiple of 4. The number of employees in Y exceeds that in X by a positive multiple of 3. The number of employees in Z equals exactly half the sum of the employees in X and Y. If the total number of employees in the company is between 100 and 130, inclusive, how many distinct values can the total number of employees take?",TITA,5,1.0,0.0,,QA,paper_eligible,1.0,latex,CAT_2017_S1_QA_Q28;CAT_2018_S2_QA_Q29;CAT_2019_S2_QA_Q31,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_04_linear_equations_logarithms_final.tex,CAT_QA_SPEC_12,Linear Equations,Algebra,1.0,Missing divisibility constraint on intermediate variable,,"The question embeds a hidden integrality constraint (the even-$b$ requirement) inside a word problem that appears to have three free parameters. Recognising that $b$ must be even collapses the parameter space and converts the problem into a number-representation counting task. The surface framing gives no hint of this parity restriction, making it a genuine reasoning challenge rather than a formula application."
Triangle similarity problem,3.0,CAT_QA_SPEC_07_ELITE2_04,0.79,,4.5,,,"Step 1: Since D is midpoint of AB and AE:EC=2:1, triangle ADE has sides along the two arms of triangle ABC. Step 2: Area(ADE)/area(ABC) = (AD/AB)(AE/AC) = (1/2)(2/3) = 1/3. Step 3: Use coordinates A=(0,0), B=(2,0), C=(0,3), so D=(1,0) and E=(0,2). Step 4: Line DE meets the line through C parallel to AB at F=(-1/2,3). Step 5: Thus triangle CEF has base 1/2 and height 1, while triangle ADE has area 1 in the scaled figure, so area(CEF)=18/4=4.5.",Hard,,3.5,,0.760,0.76,codex_weak_spec_elite_generation,"The extension to the parallel through C changes the smaller similar triangle, so the visible midpoint alone is insufficient.",4.5,6,9,12,,NO,,,,"In triangle ABC, D is the midpoint of AB. A point E lies on AC such that DE is extended to meet the line through C parallel to AB at F. If AE:EC = 2:1 and area of triangle ADE is 18, what is the area of triangle CEF?",MCQ,5.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q16;CAT_2017_S1_QA_Q20;CAT_2017_S1_QA_Q29,,CAT_QA_SPEC_07,Triangles,Geometry,,hidden parallel extension area trap,VERIFIED,
Mixture concentration problem,3.0,CAT_QA_SPEC_10_FULL_01,0.79,,50 litres,,,"Step 1: Initially milk is 50 litres. Step 2: First removal takes away 10 litres milk, leaving 40. Step 3: After adding water, milk is 40 in 80 litres. Step 4: Second removal of 20 litres removes 10 litres milk. Step 5: Adding 20 litres milk gives final milk 50 litres.",Medium,,3.0,,0.755,0.755,codex_full_qa_generation,The second removal uses the changed concentration after the first replacement.,48 litres,50 litres,52 litres,54 litres,,NO,,,,A vessel contains 80 litres of milk-water solution in the ratio 5:3. First 16 litres is removed and replaced with water. Then 20 litres of the new solution is removed and replaced with milk. What is the final quantity of milk?,MCQ,4.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q25;CAT_2017_S2_QA_Q03;CAT_2018_S1_QA_Q01,,CAT_QA_SPEC_10,Mixtures and Alligation,Arithmetic,,successive replacement trap,VERIFIED,
Logarithm equation/identity problem,3.0,CAT_QA_SPEC_16_ELITE2_01,0.84,,5,,,"Step 1: The equation becomes log2[(x-a)(x-4)] = 3. Step 2: So (x-a)(x-4)=8 with domain x>max(a,4). Step 3: On this domain, both factors are positive and the product is strictly increasing. Step 4: Therefore there is exactly one domain-valid solution for each permitted value of a. Step 5: There are five integers from -2 to 2, so the answer is 5.",Hard,,3.5,,0.752,0.752,codex_weak_spec_elite_generation,The logarithm domain creates the monotonic interval for the transformed quadratic.,3,4,5,6,,NO,,,,For how many integer values of a from -2 to 2 does log base 2 of (x-a) plus log base 2 of (x-4) equal 3 have exactly one real solution x greater than both a and 4?,MCQ,5.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q23;CAT_2017_S2_QA_Q22;CAT_2018_S1_QA_Q11,,CAT_QA_SPEC_16,Logarithms,Algebra,,log domain and parameter trap,VERIFIED,
Weighted average problem,4,CAT_QA_SPEC_15_GPT55Thinking_AVGDIV_01,0.92,"Taking the mean of $92$, $48$, and $74.5$. | Replacing $33$ candidates instead of only the lowest $7$. | Applying the average change of $4.9$ directly to each of the $7$ new candidates.",$76$,1.0,NO,"Step 1: Convert the original average into the original total: \[ 40\times 69.6=2784. \] Step 2: The total score of the lowest $7$ candidates is \[ 7\times 48=336. \] Step 3: After replacing these $7$ candidates, the total score of the unchanged $33$ candidates is \[ 2784-336=2448. \] Step 4: The new average of all $40$ candidates is $74.5$, so the new total score is \[ 40\times 74.5=2980. \] Step 5: Therefore, the total score of the $7$ new candidates is \[ 2980-2448=532. \] Step 6: Hence their average score is \[ \frac{532}{7}=76. \]",Hard,1.0,4.0,0.294,0.751,0.859,,three groups have unequal sizes and the middle group is inferred through total removal,,,,,1.0,YES,,OK,0.352,"In a batch of $40$ candidates, the average score is $69.6$. The highest $5$ candidates have an average score of $92$, and the lowest $7$ candidates have an average score of $48$. The lowest $7$ candidates are replaced by $7$ new candidates. If the new average score of all $40$ candidates becomes $74.5$, find the average score of the $7$ new candidates.",TITA,5,1.0,0.0,,QA,paper_eligible,1.0,latex,CAT_2017_S1_QA_Q21;CAT_2017_S2_QA_Q26;CAT_2018_S2_QA_Q02;CAT_2019_S2_QA_Q02;CAT_2020_S1_QA_Q08;CAT_2020_S1_QA_Q10;CAT_2020_S3_QA_Q06;CAT_2020_S3_QA_Q17,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_07_averages_divisibility_gpt55_cleaned.tex,CAT_QA_SPEC_15,Averages,Arithmetic,1.0,treating subgroup averages as equally weighted,,The question looks like an average comparison but requires tracking which group is removed and which group is retained. The highest-group information is present to test whether the solver can focus on the relevant replacement base instead of averaging subgroup averages.
Inequality optimization problem,3.0,CAT_QA_SPEC_08_ELITE2_03,0.84,,84,,,"Step 1: The condition a-b>=4 means a>=b+4. Step 2: For each b, the largest possible a is floor((40-3b)/2), and this maximizes ab for that b. Step 3: Checking feasible positive b values gives products 18,34,48,60,70,78,84, and 88 before the gap check. Step 4: For b=8, the largest a is 8, which fails a-b>=4. Step 5: The maximum valid product is therefore 84.",Hard,,3.5,,0.750,0.75,codex_weak_spec_elite_generation,The best product must satisfy both the resource boundary and the integer gap condition.,78,84,88,96,,NO,,,,"Positive integers a and b satisfy 2a + 3b <= 40 and a - b >= 4. Among all such pairs, what is the maximum possible value of ab? The maximum may occur away from the apparent equality line.",MCQ,5.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q03;CAT_2017_S1_QA_Q26;CAT_2017_S1_QA_Q32,,CAT_QA_SPEC_08,Inequalities,Algebra,,integer optimization with hidden feasibility trap,VERIFIED,
Weighted average problem,3.0,CAT_QA_SPEC_15_ELITE2_02,0.79,,47000,,,"Step 1: Original total salary is 18 x 42000 = 756000. Step 2: The four who leave have total salary 200000. Step 3: Remaining salary is 556000 for 14 employees. Step 4: After three join, there are 17 employees with total salary 17 x 41000 = 697000. Step 5: The three new employees therefore have total salary 141000 and average salary 47000.",Hard,,3.5,,0.749,0.749,codex_weak_spec_elite_generation,The denominator changes twice: first after exits and then after new entries.,,,,,,NO,,,,"The average salary of 18 employees is Rs 42000. Four employees with average salary Rs 50000 leave, and three new employees join. If the new average salary becomes Rs 41000, what is the average salary of the three new employees?",TITA,5.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q21;CAT_2017_S2_QA_Q26;CAT_2018_S2_QA_Q02,,CAT_QA_SPEC_15,Averages,Arithmetic,,changed group-size average trap,VERIFIED,
Mixture concentration problem,3.0,CAT_QA_SPEC_10_ELITE2_01,0.79,,202/3 litres,,,"Step 1: Initially milk is 70 litres and water is 20 litres. Step 2: Removing 18 litres removes 14 litres milk, leaving 56 litres milk. Step 3: After adding water, milk remains 56 litres in 90 litres. Step 4: Removing 30 litres then removes 30 x 56/90 = 56/3 litres milk. Step 5: Adding 30 litres pure milk gives final milk = 56 - 56/3 + 30 = 202/3 litres.",Hard,,3.5,,0.747,0.747,codex_weak_spec_elite_generation,The second removal must use the changed concentration after the first replacement.,64 litres,202/3 litres,68 litres,70 litres,,NO,,,,"A vessel contains 90 litres of a solution with milk and water in the ratio 7:2. First, 18 litres are removed and replaced with water. After mixing, 30 litres of the new solution are removed and replaced with pure milk. What is the final quantity of milk?",MCQ,5.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q25;CAT_2017_S2_QA_Q03;CAT_2018_S1_QA_Q01,,CAT_QA_SPEC_10,Mixtures and Alligation,Arithmetic,,successive replacement concentration trap,VERIFIED,
AP/GP sequence problem,4,CAT_QA_SPEC_11_CORRECTED_01,0.87,Equating $S_7$ with $S_5$ instead of the sum of terms $8$ to $12$. | Including $d=4$ without checking that $21d=84$ violates the upper bound. | Treating $a$ as freely variable after obtaining $a=12d$.,(A) $1$,1.0,NO,"Step 1: Sum of the first $7$ terms is \[ S_7=\frac{7}{2}(2a+6d)=7a+21d. \] Step 2: Sum of the $8$th to $12$th terms is \[ (a+7d)+(a+8d)+(a+9d)+(a+10d)+(a+11d)=5a+45d. \] Step 3: Equating the two sums, \[ 7a+21d=5a+45d \Rightarrow 2a=24d \Rightarrow a=12d. \] Step 4: The $10$th term is \[ a+9d=12d+9d=21d. \] The condition $50<21d<80$ gives \[ \frac{50}{21}<d<\frac{80}{21}. \] Step 5: Since $d$ is a positive integer, the only possible value is $d=3$. Then $a=36$. Hence the only ordered pair is $(36,3)$.",Hard,1.0,4.5,0.588,0.745,0.824,,AP has positive integer first term and common difference; equality of two partial sums forces a divisibility relation before the term-band condition is applied.,$1$,$2$,$3$,$4$,0.75,YES,,OK,0.447,"An arithmetic progression has positive integer first term $a$ and positive integer common difference $d$. The sum of the first $7$ terms equals the sum of the next $5$ terms, i.e.\ the sum of the $8$th to $12$th terms. If the $10$th term lies strictly between $50$ and $80$, how many ordered pairs $(a,d)$ are possible?",MCQ,5,1.0,0.0,,QA,paper_eligible,0.75,latex,CAT_2017_S2_QA_Q15;CAT_2017_S2_QA_Q21;CAT_2017_S2_QA_Q27,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_03_progressions_circles_corrected.tex,CAT_QA_SPEC_11,Progressions,Algebra,0.75,term vs sum trap with integer feasibility,,The problem first forces a relation through a partial-sum equality and only then applies a strict integer feasibility band. The common trap is to confuse the sum of the next $5$ terms with $S_5$ or to ignore the strict inequality on the $10$th term.
Relative speed problem,3.0,CAT_QA_SPEC_04_CAND_04,0.84,,112 m,,,"The man's speed is 7.2 km/h = 2 m/s. Let the train's speed be v m/s and its length be L m. Passing the man in the same direction gives L = 8(v - 2). Crossing the platform gives L + 144 = 16v. Substitute L = 8v - 16 into the second equation: 8v - 16 + 144 = 16v, so 128 = 8v and v = 16 m/s. Then L = 8(16 - 2) = 112 m.",Medium,,2.5,,0.740,0.74,codex_manual_generation,"The man condition uses relative speed, while platform crossing uses train speed and combined length.",96 m,108 m,112 m,120 m,,NO,,,,A train passes a man walking in the same direction at 7.2 km/h in 8 seconds. The same train crosses a platform of length 144 m in 16 seconds. What is the length of the train?,MCQ,4.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q04;CAT_2017_S2_QA_Q12;CAT_2018_S1_QA_Q04,,CAT_QA_SPEC_04,Time Speed Distance,Arithmetic,,same-direction relative-speed trap,VERIFIED,
AP/GP sequence problem,4,CAT_QA_SPEC_11_GPT55Thinking_FINALWEAK_06,0.94,Solving the sum equation but ignoring the parity restriction on $d$. | Treating the ninth-term range as inclusive. | Forgetting to verify the fourth-term divisibility condition.,(D) $56$,0.55,NO,"Step 1: Let the first term be $a$ and common difference be $d$, where $a$ and $d$ are positive integers. Step 2: The sum of the first $10$ terms is \[ S_{10}=\frac{10}{2}(2a+9d)=525. \] Thus \[ 2a+9d=105. \] Step 3: Since $a$ is an integer, \[ a=\frac{105-9d}{2} \] must be an integer. Therefore $d$ must be odd. Step 4: The ninth term is \[ a+8d=\frac{105-9d}{2}+8d=\frac{105+7d}{2}. \] It lies strictly between $70$ and $80$, so \[ 70<\frac{105+7d}{2}<80. \] Step 5: Multiplying by $2$ gives \[ 140<105+7d<160, \] so \[ 35<7d<55. \] Hence $d$ can be $6$ or $7$, but from Step 3, $d$ must be odd. Therefore \[ d=7. \] Step 6: Now \[ a=\frac{105-9(7)}{2}=\frac{42}{2}=21. \] The fourth term is \[ a+3d=21+21=42, \] which is divisible by $7$, so all constraints are satisfied. Step 7: The sixth term is \[ a+5d=21+35=56. \]",Hard,1.0,4.0,0.588,0.734,0.824,,positive integral common difference and divisibility of a specific term select one sequence,$50$,$52$,$54$,$56$,0.75,YES,,OK,0.447,"An arithmetic progression has positive integer first term and positive integer common difference. The sum of its first $10$ terms is $525$. Its fourth term is divisible by $7$, and its ninth term lies strictly between $70$ and $80$. What is its sixth term?",MCQ,5,1.0,0.2,,QA,paper_eligible,1.0,latex,CAT_2017_S1_QA_Q31;CAT_2017_S2_QA_Q15;CAT_2017_S2_QA_Q17;CAT_2017_S2_QA_Q18;CAT_2017_S2_QA_Q21;CAT_2017_S2_QA_Q25;CAT_2017_S2_QA_Q27;CAT_2017_S2_QA_Q28,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_08_final_weak_spec_recovery_chatgpt_cleaned.tex,CAT_QA_SPEC_11,Progressions,Algebra,1.0,using the sum constraint but ignoring divisibility and range restrictions,,"The problem combines a sum constraint, parity feasibility, a strict term range, divisibility of a different term, and positivity. The sixth term is not obtained by direct AP substitution until the hidden feasibility filters identify the sequence."
Mixture concentration problem,3.0,CAT_QA_SPEC_10_FULL_03,0.79,,80/3 litres,,,"Step 1: Alcohol in 40 litres of A is 24. Step 2: Let x litres of B be added, contributing x/4 alcohol. Step 3: After adding 10 litres water, total volume is 50+x. Step 4: Equation: 24+x/4=0.40(50+x). Step 5: Solving gives x=80/3 litres.",Medium,,3.0,,0.732,0.732,codex_full_qa_generation,The final water addition changes total volume but not alcohol content.,20 litres,80/3 litres,30 litres,100/3 litres,,NO,,,,"Mixture A has alcohol and water in ratio 3:2, and mixture B in ratio 1:3. How many litres of B must be mixed with 40 litres of A so that, after adding 10 litres water, final alcohol concentration is 40%?",MCQ,4.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q25;CAT_2017_S2_QA_Q03;CAT_2018_S1_QA_Q01,,CAT_QA_SPEC_10,Mixtures and Alligation,Arithmetic,,concentration vs quantity trap,VERIFIED,
Function value/domain problem,5,CAT_QA_SPEC_13_CLAUDE_04,0.94,"Skipping $f(f(\cdot))$ and computing $f(n) = n - f(n-1)$, getting an arithmetic-progression-like pattern with $f(20) = 10$ or similar. | Conjecturing $f(n) = \lfloor n/2 \rfloor$ from the first few terms: gives $f(20) = 10$. | Conjecturing $f(n) = \lfloor n \cdot \varphi^{-1}\rfloor$ but computing it carelessly.",(C) $12$,0.55,NO,Step 1: Compute $f(n)$ step by step. $f(1) = 1$.\\ $f(2) = 2 - f(f(1)) = 2 - f(1) = 1$.\\ $f(3) = 3 - f(f(2)) = 3 - f(1) = 2$.\\ $f(4) = 4 - f(f(3)) = 4 - f(2) = 3$.\\ $f(5) = 5 - f(f(4)) = 5 - f(3) = 3$.\\ $f(6) = 6 - f(f(5)) = 6 - f(3) = 4$.\\ $f(7) = 7 - f(f(6)) = 7 - f(4) = 4$.\\ $f(8) = 8 - f(f(7)) = 8 - f(4) = 5$. Step 2: Continue. $f(9) = 9 - f(f(8)) = 9 - f(5) = 6$.\\ $f(10) = 10 - f(f(9)) = 10 - f(6) = 6$.\\ $f(11) = 11 - f(f(10)) = 11 - f(6) = 7$.\\ $f(12) = 12 - f(f(11)) = 12 - f(7) = 8$. Step 3: Continue. $f(13) = 13 - f(f(12)) = 13 - f(8) = 8$.\\ $f(14) = 14 - f(f(13)) = 14 - f(8) = 9$.\\ $f(15) = 15 - f(f(14)) = 15 - f(9) = 9$.\\ $f(16) = 16 - f(f(15)) = 16 - f(9) = 10$. Step 4: Continue. $f(17) = 17 - f(f(16)) = 17 - f(10) = 11$.\\ $f(18) = 18 - f(f(17)) = 18 - f(11) = 11$.\\ $f(19) = 19 - f(f(18)) = 19 - f(11) = 12$.\\ $f(20) = 20 - f(f(19)) = 20 - f(12) = 20 - 8 = 12$. Step 5: $f(20) = 12$.,Hard,1.0,4.5,0.353,0.732,0.852,,"f(n) depends on f(f(n-1)), forcing the value chain through nontrivial intermediate values",$10$,$11$,$12$,$13$,0.75,YES,,OK,0.414,A function $f$ defined on positive integers satisfies $f(1) = 1$ and \[f(n) = n - f(f(n - 1)) \quad \text{for } n \ge 2.\] Find $f(20)$.,MCQ,5,1.0,0.0,,QA,paper_eligible,1.0,latex,CAT_2018_S2_QA_Q30;CAT_2019_S1_QA_Q09;CAT_2019_S2_QA_Q10,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_01_weak_spec_recovery_cleaned.tex,CAT_QA_SPEC_13,Functions,Algebra,1.0,nested recurrence trap,,The recurrence is nested: $f(n)$ requires $f(n-1)$ \emph{and} the value of $f$ at that result. A student cannot collapse the recurrence into a closed-form formula by inspection; one must compute every intermediate value. Off-by-one or skipping ahead easily produces $11$ or $13$.
Function value/domain problem,4,CAT_QA_SPEC_13_GPT55Thinking_FUNCIRC_01,0.94,Counting all $x>5$ and missing the exceptional value $x=0$. | Treating $f(x)$ as always non-negative because one branch contains a square root. | Forgetting that $x=-1$ is not in the domain.,(C) $16$,0.55,NO,"Step 1: The composition $f(f(x))$ is defined only if $x$ is in the domain of $f$ and the intermediate value $f(x)$ is also in the domain of $f$. Thus $x=-1$ is automatically excluded. Step 2: First consider $x<1$. Then \[ f(x)=\frac{x-2}{x+1}. \] For $f(f(x))>1$ with the intermediate input below $1$, we need \[ \frac{y-2}{y+1}>1,\quad \text{where } y=f(x). \] This gives \[ \frac{-3}{y+1}>0 \Rightarrow y<-1. \] Step 3: Now solve \[ \frac{x-2}{x+1}<-1. \] For $x<-1$, multiplying by the negative denominator reverses the sign: \[ x-2>-x-1 \Rightarrow 2x>1, \] which gives no integer $x<-1$. For $-1<x<1$, the only integer is $x=0$, and it gives \[ f(0)=-2,\quad f(-2)=4>1. \] So $x=0$ works. Step 4: Now consider $x\ge 1$. Then \[ f(x)=\sqrt{x-1}. \] If $0\le f(x)<1$, then the first branch is used next and cannot exceed $1$ because \[ \frac{y-2}{y+1}>1 \] would require $y<-1$, which is impossible for $y\ge0$. Step 5: Therefore we need $f(x)\ge 1$ and \[ f(f(x))=\sqrt{\sqrt{x-1}-1}>1. \] This gives \[ \sqrt{x-1}-1>1 \Rightarrow \sqrt{x-1}>2 \Rightarrow x>5. \] Step 6: The integers from $6$ to $20$ give $15$ values. Including $x=0$, the total number of valid integers is \[ 15+1=16. \]",Hard,1.0,4.5,0.353,0.732,0.852,,f(f(x)) is meaningful only when both x and f(x) are valid inputs,$14$,$15$,$16$,$17$,0.75,YES,,OK,0.414,"For real $x$, define \[ f(x)= \begin{cases} \dfrac{x-2}{x+1}, & x<1,\ x\ne -1,\\[4pt] \sqrt{x-1}, & x\ge 1. \end{cases} \] For how many integers $x$ in the interval $[-10,20]$ is $f(f(x))$ defined and greater than $1$?",MCQ,5,1.0,0.0,,QA,paper_eligible,1.0,latex,CAT_2017_S2_QA_Q31;CAT_2017_S2_QA_Q32;CAT_2018_S1_QA_Q03;CAT_2018_S1_QA_Q33;CAT_2018_S2_QA_Q30;CAT_2019_S1_QA_Q09;CAT_2019_S1_QA_Q33;CAT_2019_S2_QA_Q10,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_05_functions_circles_gpt55_cleaned.tex,CAT_QA_SPEC_13,Functions,Algebra,1.0,ignoring intermediate domain in a composition,,"The problem forces the solver to split the input into branches, track the intermediate value, and apply the domain of the second application. A solver using only outer substitution is likely to count values that cannot pass through the composition legally. The algebra is light, but the reasoning chain is layered."
